,date,ticker,pe_exi,de_ratio,close_price,exp_ret,vol,mom,Mkt-RF,SMB,HML,RMW,CMA,RF,ret_excess
68,2008-11-30,AAP,11.767441860465116,1.8646940672653054,26.201637268066406,-0.002579379507178736,0.09473846627463127,-0.07971272129765117,-7.86,-3.9,-6.31,4.53,2.75,0.0003,-0.002879379507178736
69,2008-12-31,AAP,13.042635658914728,1.8646940672653054,29.096952438354492,-0.009316964748449305,0.09321722335713985,-0.15031164055147217,1.74,3.29,0.14,0.07,-1.5,0.0,-0.009316964748449305
70,2009-01-31,AAP,12.686046511627906,1.8646940672653054,28.30143928527832,-0.004952381390335547,0.09777673379469189,-0.10825387505953676,-8.12,-2.14,-11.29,0.18,-1.16,0.0,-0.004952381390335547
71,2009-02-28,AAP,15.3,1.7568440594289625,33.07452392578125,-0.002382922426976584,0.09664963570872404,-0.07905989550215364,-10.1,-1.33,-6.95,1.2,-1.02,0.0001,-0.0024829224269765837
72,2009-03-31,AAP,16.432,1.7568440594289625,35.576141357421875,0.01688845953916966,0.10613977777370365,0.14813722578209454,8.95,0.67,3.47,-2.52,-2.25,0.0002,0.01668845953916966
73,2009-04-30,AAP,17.5,1.7568440594289625,37.88842010498047,0.02176773878779174,0.10748686922251405,0.21423300282216506,10.18,7.13,5.36,1.31,0.12,0.0001,0.02166773878779174
74,2009-05-31,AAP,16.31800766283525,1.7459916282873151,36.883846282958984,0.025642167231973528,0.10819406505474638,0.2696609772885712,5.21,-2.32,0.28,-0.78,-2.16,0.0,0.025642167231973528
75,2009-06-30,AAP,15.896551724137932,1.7459916282873151,35.9827995300293,0.00992822078122623,0.09996118836096232,0.06363204141143508,0.43,2.29,-2.73,-1.41,-0.33,0.0001,0.00982822078122623
76,2009-07-31,AAP,17.71264367816092,1.7459916282873151,40.0936279296875,0.010815095741762945,0.09957209799239257,0.07536317701021633,7.72,2.39,4.83,-0.46,3.13,0.0001,0.010715095741762945
77,2009-08-31,AAP,15.902255639097742,1.626781581311181,36.68528747558594,0.015485243545726076,0.10324328454654602,0.13231377047640258,3.33,-0.09,7.63,-3.03,3.34,0.0001,0.015385243545726077
78,2009-09-30,AAP,14.766917293233082,1.626781581311181,34.116912841796875,0.004446427996719959,0.10654308655243384,-0.010883459273012597,4.08,2.73,1.04,1.31,0.36,0.0001,0.004346427996719959
79,2009-10-31,AAP,14.00751879699248,1.626781581311181,32.362422943115234,0.005040648331052962,0.10606549423970403,-0.0032408583309473382,-2.59,-4.94,-4.21,4.17,-1.5,0.0,0.005040648331052962
80,2009-11-30,AAP,14.448529411764703,1.5312069246863445,34.13428497314453,0.018531274101364053,0.08370664224104431,0.2018761963170541,5.56,-2.68,-0.34,1.0,0.13,0.0,0.018531274101364053
81,2009-12-31,AAP,14.88235294117647,1.5312069246863445,35.670982360839844,0.025337420952522522,0.08299215267197027,0.30275389373266925,2.75,6.24,-0.16,1.02,-0.09,0.0001,0.025237420952522523
82,1996-02-29,AAPL,20.676691729323306,1.2199875411586723,0.20662277936935425,-0.025860360105988883,0.09612891747985772,-0.30797760805996965,1.33,1.77,-1.08,0.24,-1.9,0.0039000000000000003,-0.029760360105988884
83,1996-03-31,AAPL,18.467666511278193,1.2199875411586723,0.1845514178276062,-0.024655731133950004,0.09631337150305247,-0.29778050301737913,0.73,1.61,0.35,1.42,-0.95,0.0039000000000000003,-0.028555731133950005
84,1996-04-30,AAPL,18.327067669172934,1.2199875411586723,0.1831427812576294,-0.02459096448526969,0.09625276901943375,-0.2971689354679814,2.06,4.71,-4.02,-0.14,-2.11,0.0046,-0.02919096448526969
85,1996-05-31,AAPL,-4.976190476190476,1.2809339257018622,0.1962915062904358,-0.03231932072995389,0.09017540750293328,-0.35723740354641875,2.36,3.21,-0.83,0.12,-0.3,0.0042,-0.03651932072995389
86,1996-06-30,AAPL,-4.0,1.2809339257018622,0.15778443217277527,-0.033804299863224946,0.08810791923421503,-0.3677492556970434,-1.14,-3.65,2.35,3.51,1.22,0.004,-0.03780429986322495
87,1996-07-31,AAPL,-4.190476190476191,1.2809339257018622,0.16529838740825653,-0.05992649245133871,0.0856725673359506,-0.5451326597284303,-5.97,-3.81,5.14,2.95,2.6,0.0045000000000000005,-0.0644264924513387
88,1996-08-31,AAPL,-3.824921135646688,1.3910551632381538,0.18220360577106476,-0.05337837045828634,0.09092976554051467,-0.5082485604517185,2.77,2.57,-0.74,-0.37,-2.42,0.0040999999999999995,-0.05747837045828634
89,1996-09-30,AAPL,-3.4995262555205047,1.3910551632381538,0.16670703887939453,-0.04136950994621972,0.1014948964511749,-0.43428997996242313,5.01,-1.39,-2.72,1.27,-2.22,0.0044,-0.04576950994621972
90,1996-10-31,AAPL,-3.6277602523659307,1.3910551632381538,0.17281141877174377,-0.03731351488092996,0.09839386269816841,-0.40250546169114876,0.86,-3.77,4.94,1.4,3.25,0.0042,-0.04151351488092996
91,1996-11-30,AAPL,-3.660849772382398,1.6064139941690962,0.1812644600868225,-0.03216490429812999,0.10067724918461232,-0.3646372735517519,6.25,-3.8,1.39,2.12,-0.79,0.0040999999999999995,-0.03626490429812999
92,1996-12-31,AAPL,-3.1676783004552354,1.6064139941690962,0.1568453013896942,-0.032520698702763445,0.10035523285009113,-0.3672129878609701,-1.7,3.25,1.31,0.37,1.49,0.0046,-0.037120698702763445
93,1997-01-31,AAPL,-2.5227617602427923,1.6064139941690962,0.12491315603256226,-0.030085699729249172,0.0971810269020108,-0.34509743141828264,4.99,-1.82,-1.42,1.19,-0.02,0.0045000000000000005,-0.03458569972924917
94,1997-02-28,AAPL,-2.31811697574893,1.6269192669638435,0.12209488451480865,-0.035940551595152394,0.10570899995097474,-0.3981884443979874,-0.49,-2.59,5.67,0.67,3.47,0.0039000000000000003,-0.039840551595152394
95,1997-03-31,AAPL,-2.6034236804564905,1.6269192669638435,0.13712185621261597,-0.03744365705380035,0.10534930384419444,-0.4090928169320839,-5.03,-0.43,3.39,0.5,1.66,0.0043,-0.04174365705380035
